"Month","Day","Year","station","city","state","weather_type","rating","status","userID"
4,28,2014,"KPOU","Poughkeepsie","NY",3,3,"living","S35223"
6,14,2006,"KPOU","Poughkeepsie","NY",10,2,"living","S35223"
11,1,2015,"KPOU","Poughkeepsie","NY",8,1,"living","S35223"
7,19,2013,"KPOU","Poughkeepsie","NY",10,1,"living","S35223"
2,25,2008,"KPOU","Poughkeepsie","NY",4,5,"living","S35223"
2,27,2009,"KPOU","Poughkeepsie","NY",5,1,"living","S35223"
5,8,2010,"KPOU","Poughkeepsie","NY",1,2,"living","S35223"
8,6,2014,"KPOU","Poughkeepsie","NY",7,5,"living","S35223"
12,17,2015,"KPOU","Poughkeepsie","NY",5,3,"living","S35223"
7,19,2008,"KPOU","Poughkeepsie","NY",10,2,"living","S35223"
11,27,2013,"KPOU","Poughkeepsie","NY",5,1,"living","S35223"
1,17,2007,"KPOU","Poughkeepsie","NY",3,5,"living","S35223"
11,8,2009,"KPOU","Poughkeepsie","NY",8,2,"living","S35223"
11,1,2008,"KPOU","Poughkeepsie","NY",8,4,"living","S35223"
5,9,2012,"KPOU","Poughkeepsie","NY",10,4,"living","S35223"
10,20,2015,"KPOU","Poughkeepsie","NY",3,4,"living","S35223"
3,29,2007,"KPOU","Poughkeepsie","NY",6,2,"living","S35223"
7,11,2015,"KPOU","Poughkeepsie","NY",8,5,"living","S35223"
3,31,2011,"KPOU","Poughkeepsie","NY",4,3,"living","S35223"
11,6,2015,"KISW","Wisconsin Rapids","WI",3,1,"traveling","S35223"
10,7,2007,"PATW","Cantwell","AK",2,3,"living","J45753"
11,7,2007,"PATW","Cantwell","AK",2,2,"living","J45753"
12,18,2006,"PATW","Cantwell","AK",2,5,"living","J45753"
9,25,2010,"PATW","Cantwell","AK",2,3,"living","J45753"
2,13,2009,"PATW","Cantwell","AK",4,4,"living","J45753"
8,3,2006,"PATW","Cantwell","AK",5,2,"living","J45753"
10,31,2006,"PATW","Cantwell","AK",4,3,"living","J45753"
12,31,2007,"PATW","Cantwell","AK",4,4,"living","J45753"
5,6,2009,"PATW","Cantwell","AK",2,1,"living","J45753"
3,26,2006,"PATW","Cantwell","AK",2,3,"living","J45753"
12,24,2006,"PATW","Cantwell","AK",2,3,"living","J45753"
12,23,2006,"PATW","Cantwell","AK",2,2,"living","J45753"
8,16,2007,"KBFW","Silver Bay","MN",8,1,"traveling","J45753"
3,12,2013,"KTRM","Thermal","CA",6,1,"traveling","J45753"
6,6,2015,"KCGZ","Casa Grande","AZ",9,4,"living","A43840"
8,7,2011,"KCGZ","Casa Grande","AZ",9,1,"living","A43840"
9,10,2012,"KCGZ","Casa Grande","AZ",9,5,"living","A43840"
9,5,2007,"KCGZ","Casa Grande","AZ",9,5,"living","A43840"
6,28,2008,"KCGZ","Casa Grande","AZ",6,3,"living","A43840"
3,27,2009,"KCGZ","Casa Grande","AZ",6,4,"living","A43840"
6,16,2012,"KCGZ","Casa Grande","AZ",6,4,"living","A43840"
10,24,2015,"KCGZ","Casa Grande","AZ",9,5,"living","A43840"
8,20,2006,"KCGZ","Casa Grande","AZ",6,1,"living","A43840"
7,7,2006,"KCGZ","Casa Grande","AZ",9,1,"living","A43840"
4,23,2009,"KCGZ","Casa Grande","AZ",6,3,"living","A43840"
1,9,2006,"KBCB","Blacksburg","VA",3,5,"traveling","A43840"
3,15,2009,"KOTH","North Bend","OR",10,1,"traveling","A43840"
9,8,2010,"KCAK","Akron Canton","OH",9,5,"living","H75004"
6,26,2007,"KCAK","Akron Canton","OH",10,5,"living","H75004"
5,11,2012,"KCAK","Akron Canton","OH",3,2,"living","H75004"
3,8,2010,"KCAK","Akron Canton","OH",4,3,"living","H75004"
5,23,2010,"KCAK","Akron Canton","OH",10,3,"living","H75004"
6,23,2010,"KCAK","Akron Canton","OH",10,3,"living","H75004"
12,8,2014,"KCAK","Akron Canton","OH",3,2,"living","H75004"
3,20,2008,"K1B7","Venice","LA",5,5,"traveling","H75004"
6,6,2008,"K1B7","Venice","LA",10,1,"traveling","H75004"
1,18,2008,"KEKM","Elkhart","IN",4,1,"traveling","H75004"
